,symptom,k,Accuracy,Precision,Recall,F1,sensitivity,specificity,BAC,WF1,AUC
0,Red_lid,0,0.78,0.631578947368421,0.75,0.6857142857142857,0.75,0.7941176470588235,0.7720588235294117,0.7843516483516484,0.7720588235294119
1,Red_lid,1,0.78,0.6388888888888888,0.71875,0.676470588235294,0.71875,0.8088235294117647,0.7637867647058824,0.7831372549019607,0.7637867647058824
2,Red_lid,2,0.74,0.5714285714285714,0.75,0.6486486486486486,0.75,0.7352941176470589,0.7426470588235294,0.7472501072501073,0.7426470588235294
3,Red_lid,3,0.78,0.631578947368421,0.75,0.6857142857142857,0.75,0.7941176470588235,0.7720588235294117,0.7843516483516484,0.7720588235294119
4,Red_lid,4,0.74,0.575,0.71875,0.6388888888888888,0.71875,0.75,0.734375,0.7463194444444443,0.734375
5,Red_lid,5,0.77,0.6153846153846154,0.75,0.676056338028169,0.75,0.7794117647058824,0.7647058823529411,0.7750977180914947,0.7647058823529412
6,Red_lid,6,0.76,0.6052631578947368,0.71875,0.6571428571428571,0.71875,0.7794117647058824,0.7490808823529411,0.7647472527472527,0.7490808823529411
7,Red_lid,7,0.76,0.6052631578947368,0.71875,0.6571428571428571,0.71875,0.7794117647058824,0.7490808823529411,0.7647472527472527,0.7490808823529411
8,Red_lid,8,0.76,0.6052631578947368,0.71875,0.6571428571428571,0.71875,0.7794117647058824,0.7490808823529411,0.7647472527472527,0.7490808823529411
9,Red_lid,9,0.75,0.5853658536585366,0.75,0.6575342465753423,0.75,0.75,0.75,0.7565526911875742,0.75
10,Red_conj,0,0.67,0.5869565217391305,0.6585365853658537,0.6206896551724138,0.6585365853658537,0.6779661016949152,0.6682513435303845,0.6721818736649374,0.6682513435303844
11,Red_conj,1,0.66,0.5714285714285714,0.6829268292682927,0.6222222222222223,0.6829268292682927,0.6440677966101694,0.6634973129392311,0.6627474747474748,0.6634973129392312
12,Red_conj,2,0.68,0.5957446808510638,0.6829268292682927,0.6363636363636364,0.6829268292682927,0.6779661016949152,0.680446465481604,0.6823376623376624,0.680446465481604
13,Red_conj,3,0.7,0.6122448979591837,0.7317073170731707,0.6666666666666666,0.7317073170731707,0.6779661016949152,0.704836709384043,0.7024242424242425,0.704836709384043
14,Red_conj,4,0.7,0.6222222222222222,0.6829268292682927,0.6511627906976744,0.6829268292682927,0.711864406779661,0.6973956180239769,0.7017135862913096,0.6973956180239769
15,Red_conj,5,0.71,0.625,0.7317073170731707,0.6741573033707865,0.7317073170731707,0.6949152542372882,0.7133112856552295,0.7122603502378783,0.7133112856552294
16,Red_conj,6,0.7,0.6170212765957447,0.7073170731707317,0.6590909090909092,0.7073170731707317,0.6949152542372882,0.70111616370401,0.7021915584415587,0.7011161637040099
